Subuser,Date,Bandwidth Usage (GB)
z598815748f71a6,2020-04,0.082994141
lxrdzo0014c3c56,2020-04,2.979410156
jaredallsopp47d5ff,2020-10,1.339347656
andyvalue6ba056,2020-04,0.947708008
connorsshum198083676,2020-04,2.753524414
avikomarlingam2453,2020-08,3.210415039
lordvillon18b0d,2020-12,8.275847656
kanakarishce8c,2020-12,2.941415039
julioavina4ffc8,2020-09,0.153986328
35228407ae026,2020-05,0.974697266
flickgorisuper7f9f,2020-12,10.16324219
chips3kicksc705,2020-10,1.990598633
vanilla8877f1636,2020-04,3.950795898
wheelz030411c96,2020-06,0.220076172
xxgundam20002b03,2020-10,1.48931543
carataka5c07,2020-07,4.413080078
cgqflyhigheree9f,2020-04,0.713364258
christianbbaikda80,2020-11,1.275291016
sunnyklchui2e55,2020-12,0.059664063
jguerra35885879,2020-09,0.279292969
awbaseball33b812,2020-08,1.969754883
guitargator6f0c76,2020-07,2.272041992
jercel0104001e36,2020-06,0.400084961
rickdakota82d5zzxz,2022-01,0.073233398
tianguoo96e3d46,2020-05,4.438270508
verajonny7e8e7,2020-04,0.095109375
rykerzc5e0,2020-10,4.016595703
thomas023605d63,2021-01,0.036268555
marionicolas6fe626,2020-06,2.15E-05
justinstreamz3c29,2020-09,2.307015625
joshuabeyer2c2b06,2020-09,0.180433594
akagard443a,2020-08,0.198352539
justinjang8319d6,2020-05,1.349794922
osheng1005945c6,2020-05,0.957227539
nsbemail1b38f,2020-12,1.718561523
